algorithm,subject,run_id,fitness_value,students_attending,percentage,execution_time,start_time,end_time,solution_file
Solver,INF285,84,56.16666666666675,58,100.0,0.6922838687896729,2026-02-16T17:05:28.180737,2026-02-16T17:05:28.873020,solver_INF285_run_84.csv
Solver,INF285,85,56.16666666666675,58,100.0,0.6980481147766113,2026-02-16T17:05:28.877051,2026-02-16T17:05:29.575100,solver_INF285_run_85.csv
Solver,INF285,86,56.16666666666675,58,100.0,0.7703180313110352,2026-02-16T17:05:29.579042,2026-02-16T17:05:30.349359,solver_INF285_run_86.csv
Solver,INF285,87,56.16666666666675,58,100.0,0.6996169090270996,2026-02-16T17:05:30.353467,2026-02-16T17:05:31.053085,solver_INF285_run_87.csv
Solver,INF285,88,56.16666666666675,58,100.0,0.6961100101470947,2026-02-16T17:05:31.057509,2026-02-16T17:05:31.753618,solver_INF285_run_88.csv
Solver,INF285,89,56.16666666666675,58,100.0,0.7041728496551514,2026-02-16T17:05:31.757925,2026-02-16T17:05:32.462099,solver_INF285_run_89.csv
Solver,INF285,90,56.16666666666675,58,100.0,0.7091889381408691,2026-02-16T17:05:32.466306,2026-02-16T17:05:33.175495,solver_INF285_run_90.csv
Solver,INF285,91,56.16666666666675,58,100.0,0.7481980323791504,2026-02-16T17:05:33.179776,2026-02-16T17:05:33.927972,solver_INF285_run_91.csv
Solver,INF285,92,56.16666666666675,58,100.0,0.6991548538208008,2026-02-16T17:05:33.932797,2026-02-16T17:05:34.631952,solver_INF285_run_92.csv
Solver,INF285,93,56.16666666666675,58,100.0,0.6940979957580566,2026-02-16T17:05:34.636389,2026-02-16T17:05:35.330488,solver_INF285_run_93.csv
Solver,INF285,94,56.16666666666675,58,100.0,0.6958568096160889,2026-02-16T17:05:35.334821,2026-02-16T17:05:36.030679,solver_INF285_run_94.csv
Solver,INF285,95,56.16666666666675,58,100.0,0.748917818069458,2026-02-16T17:05:36.034964,2026-02-16T17:05:36.783882,solver_INF285_run_95.csv
Solver,INF285,96,56.16666666666675,58,100.0,0.6943690776824951,2026-02-16T17:05:36.788220,2026-02-16T17:05:37.482589,solver_INF285_run_96.csv
Solver,INF285,97,56.16666666666675,58,100.0,0.7068619728088379,2026-02-16T17:05:37.487129,2026-02-16T17:05:38.193991,solver_INF285_run_97.csv
Solver,INF285,98,56.16666666666675,58,100.0,0.6964731216430664,2026-02-16T17:05:38.198303,2026-02-16T17:05:38.894776,solver_INF285_run_98.csv
Solver,INF285,99,56.16666666666675,58,100.0,0.6977410316467285,2026-02-16T17:05:38.899380,2026-02-16T17:05:39.597121,solver_INF285_run_99.csv
Solver,INF285,100,56.16666666666675,58,100.0,0.7384161949157715,2026-02-16T17:05:39.602302,2026-02-16T17:05:40.340718,solver_INF285_run_100.csv
