config_id,W_FREE_DAY,W_SLOT_EVE,W_SLOT_DAY,W_WINDSOWS,W_SLOT2,time,final_fitness,total,conflictos,validity
cfg_019,0.1,0.5,0.1,0.6666666666666666,0.7,0.15,45.59333333333331,53.0,0.0,True
cfg_020,0.1,0.5,0.1,0.6666666666666666,0.85,0.15,43.228888888888875,53.0,1.0,True
cfg_021,0.1,0.5,0.1,0.6666666666666666,1.0,0.14,43.228888888888875,53.0,1.0,True
cfg_022,0.1,0.5,0.1,0.75,0.1,0.15,44.88499999999997,53.0,0.0,True
cfg_023,0.1,0.5,0.1,0.75,0.25,0.15,44.88499999999997,53.0,0.0,True
cfg_024,0.1,0.5,0.1,0.75,0.4,0.14,44.88499999999997,53.0,0.0,True
cfg_025,0.1,0.5,0.1,0.75,0.5499999999999999,0.14,44.88499999999997,53.0,0.0,True
cfg_026,0.1,0.5,0.1,0.75,0.7,0.15,44.88499999999997,53.0,0.0,True
cfg_027,0.1,0.5,0.1,0.75,0.85,0.15,44.88499999999997,53.0,0.0,True
cfg_028,0.1,0.5,0.1,0.75,1.0,0.13,44.88499999999997,53.0,0.0,True
cfg_029,0.1,0.5,0.1,0.8333333333333333,0.1,0.15,44.176666666666655,53.0,0.0,True
cfg_030,0.1,0.5,0.1,0.8333333333333333,0.25,0.14,44.176666666666655,53.0,0.0,True
cfg_031,0.1,0.5,0.1,0.8333333333333333,0.4,0.14,44.176666666666655,53.0,0.0,True
cfg_032,0.1,0.5,0.1,0.8333333333333333,0.5499999999999999,0.16,41.66666666666667,53.0,8.0,True
cfg_033,0.1,0.5,0.1,0.8333333333333333,0.7,0.15,41.66666666666667,53.0,8.0,True
cfg_034,0.1,0.5,0.1,0.8333333333333333,0.85,0.16,41.451111111111096,53.0,1.0,True
cfg_035,0.1,0.5,0.1,0.8333333333333333,1.0,0.13,44.176666666666655,53.0,0.0,True
cfg_036,0.1,0.5,0.1,0.9166666666666666,0.1,0.14,41.33333333333333,53.0,8.0,True
cfg_037,0.1,0.5,0.1,0.9166666666666666,0.25,0.16,41.33333333333333,53.0,8.0,True
cfg_038,0.1,0.5,0.1,0.9166666666666666,0.4,0.15,41.33333333333333,53.0,8.0,True
cfg_039,0.1,0.5,0.1,0.9166666666666666,0.5499999999999999,0.14,43.46833333333332,53.0,0.0,True
cfg_040,0.1,0.5,0.1,0.9166666666666666,0.7,0.14,43.46833333333332,53.0,0.0,True
cfg_041,0.1,0.5,0.1,0.9166666666666666,0.85,0.16,43.46833333333332,53.0,0.0,True
cfg_042,0.1,0.5,0.1,0.9166666666666666,1.0,0.16,43.46833333333332,53.0,0.0,True
cfg_043,0.1,0.5,0.1,1.0,0.1,0.13,41.00000000000001,53.0,8.0,True
cfg_044,0.1,0.5,0.1,1.0,0.25,0.15,42.75999999999998,53.0,0.0,True
cfg_045,0.1,0.5,0.1,1.0,0.4,0.15,42.75999999999998,53.0,0.0,True
cfg_046,0.1,0.5,0.1,1.0,0.5499999999999999,0.15,42.75999999999998,53.0,0.0,True
cfg_047,0.1,0.5,0.1,1.0,0.7,0.16,42.75999999999998,53.0,0.0,True
cfg_048,0.1,0.5,0.1,1.0,0.85,0.25,42.75999999999998,53.0,0.0,True
cfg_049,0.1,0.5,0.1,1.0,1.0,0.16,41.00000000000001,53.0,8.0,True
cfg_050,0.1,0.5,0.25,0.5,0.1,0.16,42.66666666666664,53.0,1.0,True
cfg_051,0.1,0.5,0.25,0.5,0.25,0.17,44.62499999999997,53.0,0.0,True
cfg_052,0.1,0.5,0.25,0.5,0.4,0.13,42.266666666666666,53.0,2.0,True
cfg_053,0.1,0.5,0.25,0.5,0.5499999999999999,0.15,44.62499999999997,53.0,0.0,True
cfg_054,0.1,0.5,0.25,0.5,0.7,0.14,42.66666666666664,53.0,1.0,True
cfg_055,0.1,0.5,0.25,0.5,0.85,0.14,44.62499999999997,53.0,0.0,True
cfg_056,0.1,0.5,0.25,0.5,1.0,0.15,44.62499999999997,53.0,0.0,True
cfg_057,0.1,0.5,0.25,0.5833333333333334,0.1,0.14,43.91666666666664,53.0,0.0,True
cfg_058,0.1,0.5,0.25,0.5833333333333334,0.25,0.15,43.91666666666664,53.0,0.0,True
cfg_059,0.1,0.5,0.25,0.5833333333333334,0.4,0.16,43.91666666666664,53.0,0.0,True
cfg_060,0.1,0.5,0.25,0.5833333333333334,0.5499999999999999,0.14,43.91666666666664,53.0,0.0,True
