config_id,initial_temp,final_temp,alpha,max_iter,time,final_fitness,validity
cfg_281,630.957344480193,0.1,0.9,5000,0.15,17.333333333333332,True
cfg_282,630.957344480193,0.1,0.9,10000,0.14,17.333333333333332,True
cfg_283,630.957344480193,0.1,0.9,50000,0.14,17.333333333333332,True
cfg_284,630.957344480193,0.1,0.9,100000,0.16,17.333333333333332,True
cfg_285,630.957344480193,0.1,0.9,250000,0.14,17.333333333333332,True
cfg_286,630.957344480193,0.1,0.93,5000,0.18,15.833333333333334,True
cfg_287,630.957344480193,0.1,0.93,10000,0.19,17.333333333333332,True
cfg_288,630.957344480193,0.1,0.93,50000,0.15,17.333333333333332,True
cfg_289,630.957344480193,0.1,0.93,100000,0.19,17.333333333333332,True
cfg_290,630.957344480193,0.1,0.93,250000,0.18,15.833333333333334,True
cfg_291,630.957344480193,0.1,0.95,5000,0.29,17.333333333333332,True
cfg_292,630.957344480193,0.1,0.95,10000,0.25,17.333333333333332,True
cfg_293,630.957344480193,0.1,0.95,50000,0.29,17.333333333333332,True
cfg_294,630.957344480193,0.1,0.95,100000,0.31,17.333333333333332,True
cfg_295,630.957344480193,0.1,0.95,250000,0.29,17.333333333333332,True
cfg_296,630.957344480193,0.1,0.97,5000,0.49,17.333333333333332,True
cfg_297,630.957344480193,0.1,0.97,10000,0.44,17.333333333333332,True
cfg_298,630.957344480193,0.1,0.97,50000,0.51,17.333333333333332,True
cfg_299,630.957344480193,0.1,0.97,100000,0.5,17.333333333333332,True
cfg_300,630.957344480193,0.1,0.97,250000,0.43,17.333333333333332,True
cfg_301,630.957344480193,0.1,0.98,5000,0.61,17.333333333333332,True
cfg_302,630.957344480193,0.1,0.98,10000,0.62,17.333333333333332,True
cfg_303,630.957344480193,0.1,0.98,50000,0.69,17.333333333333332,True
cfg_304,630.957344480193,0.1,0.98,100000,0.66,17.333333333333332,True
cfg_305,630.957344480193,0.1,0.98,250000,0.63,17.333333333333332,True
cfg_306,630.957344480193,0.1,0.99,5000,1.39,17.333333333333332,True
cfg_307,630.957344480193,0.1,0.99,10000,1.35,17.333333333333332,True
cfg_308,630.957344480193,0.1,0.99,50000,1.37,17.333333333333332,True
cfg_309,630.957344480193,0.1,0.99,100000,1.42,17.333333333333332,True
cfg_310,630.957344480193,0.1,0.99,250000,1.42,17.333333333333332,True
cfg_311,630.957344480193,0.1,0.995,5000,2.87,17.333333333333332,True
cfg_312,630.957344480193,0.1,0.995,10000,2.82,17.333333333333332,True
cfg_313,630.957344480193,0.1,0.995,50000,2.69,17.333333333333332,True
cfg_314,630.957344480193,0.1,0.995,100000,2.61,17.333333333333332,True
cfg_315,630.957344480193,0.1,0.995,250000,2.67,17.333333333333332,True
cfg_316,630.957344480193,0.1,0.999,5000,8.45,17.333333333333332,True
cfg_317,630.957344480193,0.1,0.999,10000,13.68,17.333333333333332,True
cfg_318,630.957344480193,0.1,0.999,50000,13.75,17.333333333333332,True
cfg_319,630.957344480193,0.1,0.999,100000,14.46,17.333333333333332,True
cfg_320,630.957344480193,0.1,0.999,250000,13.8,17.333333333333332,True
cfg_321,630.957344480193,1.0,0.9,5000,0.12,15.833333333333334,True
cfg_322,630.957344480193,1.0,0.9,10000,0.1,17.333333333333332,True
cfg_323,630.957344480193,1.0,0.9,50000,0.11,15.833333333333334,True
cfg_324,630.957344480193,1.0,0.9,100000,0.11,15.833333333333334,True
cfg_325,630.957344480193,1.0,0.9,250000,0.12,15.833333333333334,True
cfg_326,630.957344480193,1.0,0.93,5000,0.13,17.333333333333332,True
cfg_327,630.957344480193,1.0,0.93,10000,0.15,17.333333333333332,True
cfg_328,630.957344480193,1.0,0.93,50000,0.16,17.333333333333332,True
cfg_329,630.957344480193,1.0,0.93,100000,0.16,15.833333333333334,True
cfg_330,630.957344480193,1.0,0.93,250000,0.17,17.333333333333332,True
cfg_331,630.957344480193,1.0,0.95,5000,0.2,17.333333333333332,True
cfg_332,630.957344480193,1.0,0.95,10000,0.23,15.166666666666668,True
cfg_333,630.957344480193,1.0,0.95,50000,0.21,17.333333333333332,True
cfg_334,630.957344480193,1.0,0.95,100000,0.21,17.333333333333332,True
cfg_335,630.957344480193,1.0,0.95,250000,0.21,17.333333333333332,True
cfg_336,630.957344480193,1.0,0.97,5000,0.36,17.333333333333332,True
cfg_337,630.957344480193,1.0,0.97,10000,0.37,17.333333333333332,True
cfg_338,630.957344480193,1.0,0.97,50000,0.36,17.333333333333332,True
cfg_339,630.957344480193,1.0,0.97,100000,0.33,17.333333333333332,True
cfg_340,630.957344480193,1.0,0.97,250000,0.35,17.333333333333332,True
cfg_341,630.957344480193,1.0,0.98,5000,0.5,17.333333333333332,True
cfg_342,630.957344480193,1.0,0.98,10000,0.53,17.333333333333332,True
