config_id,W_FREE_DAY,W_SLOT,W_WINDSOWS,W_SLOT2,time,final_fitness,total,conflictos,validity
cfg_033,0.0,0.0,0.3333333333333333,0.2222222222222222,0.15,48.4444444444444,53.0,1.0,True
cfg_034,0.0,0.0,0.3333333333333333,0.3333333333333333,0.12,47.38888888888886,53.0,0.0,True
cfg_035,0.0,0.0,0.3333333333333333,0.4444444444444444,0.15,50.16666666666666,53.0,0.0,True
cfg_036,0.0,0.0,0.3333333333333333,0.5555555555555556,0.17,50.16666666666666,53.0,0.0,True
cfg_037,0.0,0.0,0.3333333333333333,0.6666666666666666,0.15,50.16666666666666,53.0,0.0,True
cfg_038,0.0,0.0,0.3333333333333333,0.7777777777777777,0.14,50.16666666666666,53.0,0.0,True
cfg_039,0.0,0.0,0.3333333333333333,0.8888888888888888,0.14,50.16666666666666,53.0,0.0,True
cfg_040,0.0,0.0,0.3333333333333333,1.0,0.14,50.16666666666666,53.0,0.0,True
cfg_041,0.0,0.0,0.4444444444444444,0.0,0.15,46.22222222222223,53.0,1.0,True
cfg_042,0.0,0.0,0.4444444444444444,0.1111111111111111,0.14,49.22222222222222,53.0,0.0,True
cfg_043,0.0,0.0,0.4444444444444444,0.2222222222222222,0.14,46.22222222222223,53.0,1.0,True
cfg_044,0.0,0.0,0.4444444444444444,0.3333333333333333,0.15,49.22222222222222,53.0,0.0,True
cfg_045,0.0,0.0,0.4444444444444444,0.4444444444444444,0.16,47.25925925925929,53.0,1.0,True
cfg_046,0.0,0.0,0.4444444444444444,0.5555555555555556,0.15,49.22222222222222,53.0,0.0,True
cfg_047,0.0,0.0,0.4444444444444444,0.6666666666666666,0.15,47.25925925925929,53.0,1.0,True
cfg_048,0.0,0.0,0.4444444444444444,0.7777777777777777,0.13,47.25925925925929,53.0,1.0,True
cfg_049,0.0,0.0,0.4444444444444444,0.8888888888888888,0.13,49.22222222222222,53.0,0.0,True
cfg_050,0.0,0.0,0.4444444444444444,1.0,0.15,49.22222222222222,53.0,0.0,True
cfg_051,0.0,0.0,0.5555555555555556,0.0,0.13,46.0740740740741,53.0,1.0,True
cfg_052,0.0,0.0,0.5555555555555556,0.1111111111111111,0.15,48.277777777777786,53.0,0.0,True
cfg_053,0.0,0.0,0.5555555555555556,0.2222222222222222,0.13,44.77777777777779,53.0,1.0,True
cfg_054,0.0,0.0,0.5555555555555556,0.3333333333333333,0.15,43.64814814814813,53.0,0.0,True
cfg_055,0.0,0.0,0.5555555555555556,0.4444444444444444,0.15,48.277777777777786,53.0,0.0,True
cfg_056,0.0,0.0,0.5555555555555556,0.5555555555555556,0.15,48.277777777777786,53.0,0.0,True
cfg_057,0.0,0.0,0.5555555555555556,0.6666666666666666,0.14,48.277777777777786,53.0,0.0,True
cfg_058,0.0,0.0,0.5555555555555556,0.7777777777777777,0.13,43.64814814814813,53.0,0.0,True
cfg_059,0.0,0.0,0.5555555555555556,0.8888888888888888,0.15,48.277777777777786,53.0,0.0,True
cfg_060,0.0,0.0,0.5555555555555556,1.0,0.15,48.277777777777786,53.0,0.0,True
cfg_061,0.0,0.0,0.6666666666666666,0.0,0.14,42.22222222222221,53.0,7.0,True
